-558.09169,673.40355	-557.34996,673.22515	-555.48106,673.28225	-553.34849,673.79595	-551.25254,674.65225	-549.49351,675.73695	-548.83418,676.32925	-548.37168,676.93575	-546.48069,688.95037	-546.52799,689.5627	-549.11293,702.60465	-549.3293,703.33615	-550.31319,704.92615	-561.40158,720.60675	-561.74878,721.11335	-562.31198,721.44875	-563.05368,721.62715	-564.92258,721.57005	-567.05518,721.05625	-569.15108,720.19995	-570.91008,719.11535	-571.56948,718.52305	-572.03198,717.91655	-579.33898,706.33445	-580.32008,704.51565	-580.59498,703.67305	-580.69218,702.91655	-581.22928,689.23264	-581.16948,687.16694	-580.98618,686.29981	-580.69218,685.59601	-571.23268,677.95105	-570.67878,677.68585
-594.95091,651.26692	-594.73455,650.53536	-593.75065,648.94539	-592.23949,647.35538	-590.44993,645.96839	-588.63104,644.98737	-587.78843,644.71252	-587.03194,644.61524	-575.68147,648.98491	-575.17483,649.33203	-565.17264,658.09163	-564.64733,658.64476	-563.76229,660.29184	-555.72669,677.73496	-555.46156,678.28895	-555.4527,678.94439	-555.66905,679.67592	-556.65295,681.26589	-558.16421,682.85588	-559.95374,684.24283	-561.77253,685.22387	-562.61518,685.49877	-563.37167,685.59606	-577.05556,686.13306	-579.12124,686.07332	-579.9884,685.89009	-580.69215,685.59601	-592.81131,679.2192	-594.57036,678.13457	-595.22967,677.54226	-595.69218,676.93574	-597.58316,664.9211	-597.53588,664.30881
-582.49322,675.41213	-581.96786,675.96528	-581.08286,677.61235	-580.46145,679.71606	-580.15505,681.95935	-580.21491,684.02507	-580.39819,684.89222	-580.69219,685.596	-590.15166,693.24096	-590.7056,693.50616	-603.29273,697.78851	-604.03442,697.96688	-605.90334,697.9098	-625.02733,696.14728	-625.63966,696.09989	-626.21173,695.77985	-626.73708,695.22672	-627.62208,693.57965	-628.24341,691.47587	-628.54978,689.23261	-628.48999,687.16698	-628.30675,686.29977	-628.01275,685.59598	-621.63586,673.47688	-620.55128,671.71783	-619.95902,671.05846	-619.35247,670.59603	-607.77041,663.28893	-605.95156,662.30787	-605.10895,662.03305	-604.35244,661.93576	-593.00196,666.30545	-592.49534,666.65254
-568.49974,708.1965	-568.32134,708.93823	-568.37844,710.80713	-568.89214,712.9397	-569.74844,715.03565	-570.83314,716.79468	-571.42544,717.45402	-572.03194,717.91651	-584.04656,719.8075	-584.65889,719.7602	-597.70083,717.17526	-598.43233,716.95889	-600.02233,715.975	-615.70293,704.88661	-616.20953,704.53941	-616.54493,703.97621	-616.72333,703.23451	-616.66623,701.36561	-616.15243,699.23301	-615.29613,697.13711	-614.21153,695.37811	-613.61923,694.71871	-613.01273,694.25621	-601.43063,686.94921	-599.61183,685.96811	-598.76923,685.69321	-598.01273,685.59601	-584.32883,685.05891	-582.26313,685.11871	-581.396,685.30201	-580.6922,685.59601	-573.04724,695.05551	-572.78204,695.60941
-626.95294,738.76922	-627.69467,738.94762	-629.56357,738.89052	-631.69614,738.37682	-633.79209,737.52052	-635.55112,736.43582	-636.21046,735.84352	-636.67295,735.23702	-638.56394,723.2224	-638.51664,722.61007	-635.9317,709.56812	-635.71533,708.83662	-634.73144,707.24662	-623.64305,691.56602	-623.29585,691.05942	-622.73265,690.72402	-621.99095,690.54562	-620.12205,690.60272	-617.98945,691.11652	-615.89355,691.97282	-614.13455,693.05742	-613.47515,693.64972	-613.01265,694.25622	-605.70565,705.83832	-604.72455,707.65712	-604.44965,708.49972	-604.35245,709.25622	-603.81535,722.94013	-603.87515,725.00582	-604.05845,725.87296	-604.35245,726.57676	-613.81195,734.22172	-614.36585,734.48692
-590.09372,760.90585	-590.31008,761.63741	-591.29398,763.22737	-592.80514,764.81738	-594.5947,766.20438	-596.41359,767.18539	-597.25621,767.46024	-598.0127,767.55753	-609.36316,763.18786	-609.8698,762.84073	-619.87199,754.08113	-620.3973,753.528	-621.28234,751.88093	-629.31794,734.4378	-629.58307,733.88382	-629.59193,733.22837	-629.37558,732.49684	-628.39168,730.90688	-626.88042,729.31689	-625.09089,727.92994	-623.2721,726.9489	-622.42945,726.67399	-621.67296,726.57671	-607.98907,726.03971	-605.92339,726.09945	-605.05623,726.28268	-604.35248,726.57675	-592.23331,732.95356	-590.47427,734.0382	-589.81496,734.63051	-589.35245,735.23702	-587.46147,747.25167	-587.50875,747.86396
-572.77321,743.58534	-572.98958,744.3169	-573.97348,745.90686	-575.48464,747.49687	-577.27419,748.88387	-579.09308,749.86488	-579.9357,750.13974	-580.69219,750.23702	-592.04265,745.86735	-592.54929,745.52023	-602.55148,736.76063	-603.07679,736.20749	-603.96183,734.56042	-611.99743,717.11729	-612.26256,716.56331	-612.27143,715.90786	-612.05508,715.17633	-611.07118,713.58637	-609.55991,711.99638	-607.77038,710.60943	-605.95159,709.62839	-605.10895,709.35348	-604.35245,709.2562	-590.66856,708.7192	-588.60288,708.77894	-587.73572,708.96217	-587.03197,709.25624	-574.91281,715.63306	-573.15377,716.71769	-572.49445,717.31	-572.03194,717.91651	-570.14097,729.93116	-570.18825,730.54345
-535.17271,722.73263	-534.64735,723.28579	-533.76235,724.93286	-533.14094,727.03657	-532.83454,729.27986	-532.89441,731.34558	-533.07768,732.21273	-533.37168,732.91651	-542.83115,740.56147	-543.3851,740.82667	-555.97223,745.10902	-556.71391,745.28739	-558.58283,745.23031	-577.70683,743.46779	-578.31916,743.4204	-578.89122,743.10036	-579.41657,742.54723	-580.30157,740.90016	-580.92291,738.79637	-581.22928,736.55312	-581.16949,734.48748	-580.98624,733.62028	-580.69225,732.91649	-574.31535,720.79739	-573.23078,719.03833	-572.63851,718.37896	-572.03196,717.91654	-560.4499,710.60944	-558.63106,709.62838	-557.78845,709.35356	-557.03194,709.25627	-545.68146,713.62595	-545.17484,713.97305
-534.43144,679.74329	-533.68971,679.56489	-531.82081,679.62199	-529.68824,680.13569	-527.59229,680.99199	-525.83326,682.07669	-525.17392,682.66899	-524.71143,683.27549	-522.82044,695.29011	-522.86774,695.90244	-525.45268,708.94439	-525.66905,709.67589	-526.65294,711.26589	-537.74133,726.94649	-538.08853,727.45309	-538.65173,727.78849	-539.39343,727.96689	-541.26233,727.90979	-543.39493,727.39599	-545.49083,726.53969	-547.24983,725.45509	-547.90923,724.86279	-548.37173,724.25629	-555.67873,712.67419	-556.65983,710.85539	-556.93473,710.01279	-557.03193,709.25629	-557.56903,695.57238	-557.50923,693.50669	-557.32593,692.63956	-557.03193,691.93575	-547.57243,684.29079	-547.01853,684.02559
-593.47398,798.35441	-592.94862,798.90757	-592.06362,800.55463	-591.44221,802.65834	-591.13582,804.90164	-591.19568,806.96735	-591.37896,807.83451	-591.67295,808.53829	-601.13243,816.18324	-601.68637,816.44845	-614.2735,820.7308	-615.01518,820.90916	-616.88411,820.85209	-636.0081,819.08956	-636.62043,819.04218	-637.19249,818.72213	-637.71784,818.169	-638.60284,816.52194	-639.22418,814.41815	-639.53055,812.1749	-639.47076,810.10926	-639.28751,809.24205	-638.99352,808.53827	-632.61663,796.41917	-631.53205,794.66011	-630.93979,794.00074	-630.33324,793.53831	-618.75117,786.23122	-616.93233,785.25016	-616.08972,784.97533	-615.33321,784.87804	-603.98273,789.24773	-603.47611,789.59482
-592.73271,755.36507	-591.99098,755.18667	-590.12208,755.24377	-587.98951,755.75747	-585.89356,756.61377	-584.13453,757.69847	-583.4752,758.29077	-583.0127,758.89727	-581.12171,770.91189	-581.16901,771.52422	-583.75395,784.56617	-583.97032,785.29767	-584.95421,786.88767	-596.0426,802.56827	-596.3898,803.07487	-596.953,803.41027	-597.6947,803.58867	-599.5636,803.53157	-601.6962,803.01777	-603.7921,802.16147	-605.5511,801.07687	-606.2105,800.48457	-606.673,799.87807	-613.98,788.29597	-614.9611,786.47717	-615.236,785.63457	-615.3332,784.87807	-615.8703,771.19416	-615.8105,769.12847	-615.6272,768.26133	-615.3332,767.55753	-605.8737,759.91257	-605.3198,759.64737
